,,,Expected,Expected,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Ast,xA,xAG,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
1,Nuno Tavares,8,2.4,2.6,2024-2025,24,pt POR,Lazio,it Serie A,8,652,7.2,8,0,2,0,8,8,0,0,0,0,0.6,0.6,2.6,3.2,2.4,3.2,-0.6,-0.6,+5.4,0.05,13,0.00,0.00,2,15.4,25.3,2,DF,a65c844b
2,Bukayo Saka,7,3.2,3.5,2024-2025,22,eng ENG,Arsenal,eng Premier League,8,650,7.2,8,0,0,3,7,10,3,0,0,0,2.3,2.3,3.5,5.8,3.2,5.8,+0.7,+0.7,+3.5,0.08,27,0.11,0.25,12,44.4,16.1,0,MFFW,bc7dc64d
3,Raphinha,6,3.5,6.5,2024-2025,27,br BRA,Barcelona,es La Liga,11,907,10.1,10,1,0,6,6,12,6,0,0,0,6.4,6.4,6.5,12.9,3.5,12.9,-0.4,-0.4,-0.5,0.18,35,0.17,0.43,14,40.0,20.0,5,FWMF,3423f250
4,Lamine Yamal,6,2.6,5.0,2024-2025,17,es ESP,Barcelona,es La Liga,11,885,9.8,10,1,0,5,6,11,5,0,0,0,3.0,3.0,5.0,8.0,2.6,8.0,+2.0,+2.0,+1.0,0.09,35,0.14,0.38,13,37.1,20.2,0,FW,82ec26c1
5,João Neves,6,2.5,2.1,2024-2025,19,pt POR,Paris S-G,fr Ligue 1,9,692,7.7,8,1,0,1,6,7,1,0,0,0,0.7,0.7,2.1,2.8,2.5,2.8,+0.3,+0.3,+3.9,0.08,9,0.11,0.50,2,22.2,14.3,0,MF,c2a15a27
6,Óscar Mingueza,5,2.6,2.9,2024-2025,25,es ESP,Celta Vigo,es La Liga,10,768,8.5,10,0,0,2,5,7,2,0,0,0,0.4,0.4,2.9,3.3,2.6,3.3,+1.6,+1.6,+2.1,0.05,8,0.25,0.67,3,37.5,23.6,4,MFDF,056269d7
7,Harry Kane,5,1.6,1.5,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,8,659,7.3,8,0,0,9,5,14,7,2,2,0,5.6,4.1,1.5,7.1,1.6,5.6,+3.4,+2.9,+3.5,0.14,30,0.23,0.64,11,36.7,15.7,2,FW,21a66f6a
8,Alex Baena,5,4.1,3.4,2024-2025,23,es ESP,Villarreal,es La Liga,10,742,8.2,9,1,0,1,5,6,1,0,1,1,2.2,1.4,3.4,5.6,4.1,4.8,-1.2,-0.4,+1.6,0.08,17,0.06,0.25,4,23.5,19.9,3,MFFW,518f2234
9,Vincenzo Grifo,5,3.1,2.7,2024-2025,31,it ITA,Freiburg,de Bundesliga,8,621,6.9,8,0,0,3,5,8,3,0,1,1,2.3,1.5,2.7,5.0,3.1,4.2,+0.7,+1.5,+2.3,0.07,23,0.13,0.38,8,34.8,20.2,3,FW,54e4866f
