,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,,-additional
Rk,Player,SCA/90,PrgC/90,Att 3rd/90,PrgR/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Pos,-9999
1,Arda Güler,6.5,2.2,34.8,9.3,2024-2025,19,tr TUR,Real Madrid,es La Liga,7,251,2.8,3,4,2,MFFW,3741ca58
2,Nicolás Paz,6.0,4.3,27.8,5.6,2024-2025,19,ar ARG,Como,it Serie A,6,418,4.6,4,2,0,MFFW,01bb93d5
3,Niccolò Pisilli,5.5,1.8,21.0,3.7,2024-2025,19,it ITA,Roma,it Serie A,5,244,2.7,3,2,2,MF,c84dcc88
4,Alberto Moleiro,5.4,4.0,20.9,7.7,2024-2025,20,es ESP,Las Palmas,es La Liga,9,681,7.6,8,1,0,FWMF,c2c8897d
5,Tyler Dibling,5.3,5.3,21.3,5.6,2024-2025,18,eng ENG,Southampton,eng Premier League,7,371,4.1,4,3,0,FWMF,bdcc89ae
6,Ilias Akhomach,5.1,4.6,23.3,10.2,2024-2025,20,ma MAR,Villarreal,es La Liga,8,390,4.3,4,4,1,MF,b8bd60fe
7,Yasin Ayari,4.9,2.2,24.6,5.4,2024-2025,20,se SWE,Brighton,eng Premier League,5,201,2.2,1,4,1,MF,f173303a
8,Eliesse Ben Seghir,4.9,6.6,29.4,8.6,2024-2025,19,ma MAR,Monaco,fr Ligue 1,7,463,5.1,6,1,0,MFFW,3bd65247
9,Kévin Danois,4.1,1.2,19.4,2.6,2024-2025,20,fr FRA,Auxerre,fr Ligue 1,6,311,3.5,3,3,1,MFDF,e76f6fbe
10,Yaser Asprilla,4.0,5.0,31.8,11.1,2024-2025,20,co COL,Girona,es La Liga,6,340,3.8,3,3,1,FWMF,d139daf9
11,João Neves,3.9,2.2,25.0,4.5,2024-2025,19,pt POR,Paris S-G,fr Ligue 1,7,525,5.8,6,1,0,MF,c2a15a27
12,Adam Wharton,3.7,0.8,15.3,1.0,2024-2025,20,eng ENG,Crystal Palace,eng Premier League,7,535,5.9,7,0,0,MF,4b542852
13,Antonio Nusa,3.7,2.4,28.5,8.7,2024-2025,19,no NOR,RB Leipzig,de Bundesliga,6,268,3.0,2,4,0,MF,4ab12002
14,Lamine Camara,3.7,1.3,15.7,1.9,2024-2025,20,sn SEN,Monaco,fr Ligue 1,6,419,4.7,5,1,0,MF,19c2ffa4
15,Yaya Kader Fofana,3.6,2.9,12.6,4.2,2024-2025,20,ml MLI,Reims,fr Ligue 1,7,428,4.8,6,1,0,MFFW,cedc53d2
16,Kenan Yıldız,3.5,5.6,22.0,7.2,2024-2025,19,tr TUR,Juventus,it Serie A,7,512,5.7,6,1,0,FWMF,d8cda243
17,Yankuba Minteh,3.3,3.8,27.0,12.0,2024-2025,20,gm GAM,Brighton,eng Premier League,7,406,4.5,5,2,0,FWMF,c3cf087d
18,Marc Casado,3.2,1.0,14.5,2.1,2024-2025,20,es ESP,Barcelona,es La Liga,7,473,5.3,5,2,2,MF,2ef08833
19,Carlos Baleba,3.2,1.3,15.4,0.4,2024-2025,20,cm CMR,Brighton,eng Premier League,6,422,4.7,5,1,1,MF,a1390d2f
20,Alex Scott,3.1,1.3,18.4,4.5,2024-2025,20,eng ENG,Bournemouth,eng Premier League,7,201,2.2,1,6,0,MF,104d0bb8
21,Dario Essugo,3.1,1.7,13.2,0.6,2024-2025,19,pt POR,Las Palmas,es La Liga,4,321,3.6,4,0,1,MF,1e4319ac
22,Khalil Fayad,2.8,2.1,12.4,2.5,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,4,254,2.8,3,1,0,MFFW,faf00ab8
23,Badredine Bouanani,2.8,3.5,24.6,6.9,2024-2025,19,dz ALG,Nice,fr Ligue 1,7,260,2.9,2,5,0,FWMF,0400dd2f
24,Facundo Buonanotte,2.7,2.2,14.3,2.9,2024-2025,19,ar ARG,Leicester City,eng Premier League,6,371,4.1,4,2,1,MFFW,468a7a91
25,Warren Zaïre-Emery,2.7,1.8,20.8,3.9,2024-2025,18,fr FRA,Paris S-G,fr Ligue 1,6,507,5.6,6,0,0,MFDF,6b9960cf
26,Tom Rothe,2.6,1.0,17.6,3.1,2024-2025,19,de GER,Union Berlin,de Bundesliga,5,378,4.2,5,0,1,DFMF,90c1f9a4
27,Andrey Santos,2.6,1.4,6.9,1.4,2024-2025,20,br BRA,Strasbourg,fr Ligue 1,6,522,5.8,6,0,0,MF,dd745366
28,Mikel Jauregizar,2.6,0.5,12.4,0.7,2024-2025,20,es ESP,Athletic Club,es La Liga,7,386,4.3,4,3,1,MF,2f5c78ca
29,Tom Bischof,2.5,2.5,16.6,2.9,2024-2025,19,de GER,Hoffenheim,de Bundesliga,4,250,2.8,3,1,0,MF,07d3bfec
30,Mateus Fernandes,2.4,2.4,15.3,4.4,2024-2025,20,pt POR,Southampton,eng Premier League,6,371,4.1,4,2,0,MF,ef491564
