id,minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
320819,85,ShotOnPost,0.9569999694824218,0.655,0.2586280107498169,Theo Hernández,h,2547,OpenPlay,2019,LeftFoot,13125,AC Milan,Inter,0,2,2019-09-21T18:45:00Z,Ante Rebic,Pass
323573,46,BlockedShot,0.815,0.4909999847412109,0.04771560057997703,Theo Hernández,h,2547,OpenPlay,2019,LeftFoot,13143,AC Milan,Fiorentina,1,3,2019-09-29T18:45:00Z,NA,BallRecovery
324462,50,Goal,0.986999969482422,0.6029999923706054,0.06706900149583817,Theo Hernández,a,2547,SetPiece,2019,LeftFoot,13153,Genoa,AC Milan,1,2,2019-10-05T19:45:00Z,Lucas Paquetá,Pass
326614,77,SavedShot,0.865,0.69,0.0466713011264801,Theo Hernández,h,2547,OpenPlay,2019,LeftFoot,13163,AC Milan,Lecce,2,2,2019-10-20T19:45:00Z,Rade Krunic,Pass
328106,54,Goal,0.875,0.485,0.07537910342216492,Theo Hernández,a,2547,OpenPlay,2019,RightFoot,13176,Roma,AC Milan,2,1,2019-10-27T17:00:00Z,Davide Calabria,Cross
330048,47,MissedShots,0.7030000305175781,0.64,0.01273300033062696,Theo Hernández,h,2547,OpenPlay,2019,LeftFoot,13195,AC Milan,Lazio,1,2,2019-11-03T19:45:00Z,Lucas Paquetá,Pass
331659,31,MissedShots,0.78,0.67,0.01689830049872398,Theo Hernández,a,2547,FromCorner,2019,LeftFoot,13202,Juventus,AC Milan,1,0,2019-11-10T19:45:00Z,NA,None
331661,44,SavedShot,0.725,0.6969999694824218,0.01164699997752904,Theo Hernández,a,2547,OpenPlay,2019,LeftFoot,13202,Juventus,AC Milan,1,0,2019-11-10T19:45:00Z,Andrea Conti,Pass
334252,80,BlockedShot,0.794000015258789,0.77,0.01971109956502914,Theo Hernández,a,2547,OpenPlay,2019,LeftFoot,13228,Parma Calcio 1913,AC Milan,0,1,2019-12-01T14:00:00Z,Giacomo Bonaventura,Pass
334258,87,Goal,0.9130000305175782,0.625,0.3198220133781433,Theo Hernández,a,2547,OpenPlay,2019,LeftFoot,13228,Parma Calcio 1913,AC Milan,0,1,2019-12-01T14:00:00Z,NA,Rebound
336605,31,Goal,0.948000030517578,0.5220000076293946,0.6532909870147705,Theo Hernández,a,2547,OpenPlay,2019,RightFoot,13230,Bologna,AC Milan,2,3,2019-12-08T19:45:00Z,Suso,Throughball
336607,39,OwnGoal,0.04900000095367431,0.4759999847412109,0,Theo Hernández,a,2547,FromCorner,2019,OtherBodyPart,13230,Bologna,AC Milan,2,3,2019-12-08T19:45:00Z,NA,CornerAwarded
336622,94,SavedShot,0.906999969482422,0.6409999847412109,0.29373300075531006,Theo Hernández,a,2547,OpenPlay,2019,LeftFoot,13230,Bologna,AC Milan,2,3,2019-12-08T19:45:00Z,Lucas Paquetá,Pass
